hanzairitu,teijyu_chiiki,syogyo_wariai,kawa_dummy,taiki_osen,heyazu,furuya_wariai,eki_toho_min,kousoku_akusesu,koteishizan_zei,gakkyu_ninzu,ryokuchi_wariai,teishotoku_wariai,bukken_kakaku_manen
0.00632,18.0,2.31,0,0.538,6.575,65.2,10.2,1,296,15.3,99.2,4.98,3600
0.02731,0.0,7.07,0,0.469,6.421,78.9,12.4,2,242,17.8,99.2,9.14,3240
0.02729,0.0,7.07,0,0.469,7.185,61.1,12.4,2,242,17.8,98.2,4.03,5205
0.03237,0.0,2.18,0,0.458,6.998,45.8,15.2,3,222,18.7,98.7,2.94,5010
0.06905,0.0,2.18,0,0.458,7.147,54.2,15.2,3,222,18.7,99.2,5.33,5430
0.02985,0.0,2.18,0,0.458,6.43,58.7,15.2,3,222,18.7,98.5,5.21,4305
0.08829,12.5,7.87,0,0.524,6.012,66.6,13.9,5,311,15.2,98.9,12.43,3435
0.14455,12.5,7.87,0,0.524,6.172,96.1,14.9,5,311,15.2,99.2,19.15,4065
0.21124,12.5,7.87,0,0.524,5.631,100.0,15.2,5,311,15.2,96.7,29.93,2475
0.17004,12.5,7.87,0,0.524,6.004,85.9,16.5,5,311,15.2,96.7,17.1,2835
0.22489,12.5,7.87,0,0.524,6.377,94.3,15.9,5,311,15.2,98.1,20.45,2250
0.11747,12.5,7.87,0,0.524,6.009,82.9,15.6,5,311,15.2,99.2,13.27,2835
0.09378,12.5,7.87,0,0.524,5.889,39.0,13.6,5,311,15.2,97.6,15.71,3255
0.62976,0.0,8.14,0,0.538,5.949,61.8,11.8,4,307,21.0,99.2,8.26,3060
0.63796,0.0,8.14,0,0.538,6.096,84.5,11.2,4,307,21.0,95.0,10.26,2730
0.62739,0.0,8.14,0,0.538,5.834,56.5,11.2,4,307,21.0,98.9,8.47,2985
1.05393,0.0,8.14,0,0.538,5.935,29.3,11.2,4,307,21.0,96.7,6.58,3465
0.7842,0.0,8.14,0,0.538,5.99,81.7,10.6,4,307,21.0,96.7,14.67,2625
0.80271,0.0,8.14,0,0.538,5.456,36.6,9.5,4,307,21.0,72.2,11.69,3030
0.7258,0.0,8.14,0,0.538,5.727,69.5,9.5,4,307,21.0,97.7,11.28,2730
1.25179,0.0,8.14,0,0.538,5.57,98.1,9.5,4,307,21.0,94.1,21.02,2040
0.85204,0.0,8.14,0,0.538,5.965,89.2,10.0,4,307,21.0,98.1,13.83,2940
1.23247,0.0,8.14,0,0.538,6.142,91.7,9.9,4,307,21.0,99.2,18.72,2280
0.98843,0.0,8.14,0,0.538,5.813,100.0,10.2,4,307,21.0,98.6,19.88,2175
0.75026,0.0,8.14,0,0.538,5.924,94.1,11.0,4,307,21.0,98.6,16.3,2340
0.84054,0.0,8.14,0,0.538,5.599,85.7,11.1,4,307,21.0,75.9,16.51,2085
0.67191,0.0,8.14,0,0.538,5.813,90.3,11.7,4,307,21.0,94.2,14.81,2490
0.95577,0.0,8.14,0,0.538,6.047,88.8,11.1,4,307,21.0,76.6,17.28,2220
0.77299,0.0,8.14,0,0.538,6.495,94.4,11.1,4,307,21.0,97.0,12.8,2760
1.00245,0.0,8.14,0,0.538,6.674,87.3,10.6,4,307,21.0,95.1,11.98,3150
1.13081,0.0,8.14,0,0.538,5.713,94.1,10.6,4,307,21.0,90.0,22.6,1905
1.35472,0.0,8.14,0,0.538,6.072,100.0,10.4,4,307,21.0,94.2,13.04,2175
1.38799,0.0,8.14,0,0.538,5.95,82.0,10.0,4,307,21.0,58.2,27.71,1980
1.15172,0.0,8.14,0,0.538,5.701,95.0,9.5,4,307,21.0,89.7,18.35,1965
1.61282,0.0,8.14,0,0.538,6.096,96.9,9.4,4,307,21.0,62.1,20.34,2025
0.06417,0.0,5.96,0,0.499,5.933,68.2,8.4,5,279,19.2,99.2,9.68,2835
0.09744,0.0,5.96,0,0.499,5.841,61.4,8.4,5,279,19.2,94.4,11.41,3000
0.08014,0.0,5.96,0,0.499,5.85,41.5,9.8,5,279,19.2,99.2,8.77,3150
0.17505,0.0,5.96,0,0.499,5.966,30.2,9.6,5,279,19.2,98.4,10.13,3705
0.02763,75.0,2.95,0,0.428,6.595,21.8,13.5,3,252,18.3,98.9,4.32,4620
0.03359,75.0,2.95,0,0.428,7.024,15.8,13.5,3,252,18.3,98.9,1.98,5235
0.12744,0.0,6.91,0,0.448,6.77,2.9,14.3,3,233,17.9,96.4,4.84,3990
0.1415,0.0,6.91,0,0.448,6.169,6.6,14.3,3,233,17.9,95.8,5.81,3795
0.15936,0.0,6.91,0,0.448,6.211,6.5,14.3,3,233,17.9,98.6,7.44,3705
0.12269,0.0,6.91,0,0.448,6.069,40.0,14.3,3,233,17.9,97.3,9.55,3180
0.17142,0.0,6.91,0,0.448,5.682,33.8,12.8,3,233,17.9,99.2,10.21,2895
0.18836,0.0,6.91,0,0.448,5.786,33.3,12.8,3,233,17.9,99.2,14.15,3000
0.22927,0.0,6.91,0,0.448,6.03,85.5,14.2,3,233,17.9,98.2,18.8,2490
0.25387,0.0,6.91,0,0.448,5.399,95.3,14.7,3,233,17.9,99.2,30.81,2160
0.21977,0.0,6.91,0,0.448,5.602,62.0,15.2,3,233,17.9,99.2,16.2,2910
0.08873,21.0,5.64,0,0.439,5.963,45.7,17.0,4,243,16.8,98.9,13.45,2955
0.04337,21.0,5.64,0,0.439,6.115,63.0,17.0,4,243,16.8,98.5,9.43,3075
0.0536,21.0,5.64,0,0.439,6.511,21.1,17.0,4,243,16.8,99.2,5.28,3750
0.04981,21.0,5.64,0,0.439,5.998,21.4,17.0,4,243,16.8,99.2,8.43,3510
0.0136,75.0,4.0,0,0.41,5.888,47.6,18.3,3,469,21.1,99.2,14.8,2835
0.01311,90.0,1.22,0,0.403,7.249,21.9,21.7,5,226,17.9,99.0,4.81,5310
0.02055,85.0,0.74,0,0.41,6.383,35.7,23.0,2,313,17.3,99.2,5.77,3705
0.01432,100.0,1.32,0,0.411,6.816,40.5,20.8,5,256,15.1,98.2,3.95,4740
0.15445,25.0,5.13,0,0.453,6.145,29.2,19.5,8,284,19.7,97.7,6.86,3495
0.10328,25.0,5.13,0,0.453,5.927,47.2,17.3,8,284,19.7,99.2,9.22,2940
0.14932,25.0,5.13,0,0.453,5.741,66.2,18.1,8,284,19.7,98.8,13.15,2805
0.17171,25.0,5.13,0,0.453,5.966,93.4,17.0,8,284,19.7,94.5,14.44,2400
0.11027,25.0,5.13,0,0.453,6.456,67.8,18.1,8,284,19.7,99.2,6.73,3330
0.1265,25.0,5.13,0,0.453,6.762,43.4,20.0,8,284,19.7,98.9,9.5,3750
0.01951,17.5,1.38,0,0.4161,7.104,59.5,23.1,3,216,18.6,98.3,8.05,4950
0.03584,80.0,3.37,0,0.398,6.29,17.8,16.5,4,337,16.1,99.2,4.67,3525
0.04379,80.0,3.37,0,0.398,5.787,31.1,16.5,4,337,16.1,99.2,10.24,2910
0.05789,12.5,6.07,0,0.409,5.878,21.4,16.2,4,345,18.9,99.1,8.1,3300
0.13554,12.5,6.07,0,0.409,5.594,36.8,16.2,4,345,18.9,99.2,13.09,2610
0.12816,12.5,6.07,0,0.409,5.885,33.0,16.2,4,345,18.9,99.2,8.79,3135
0.08826,0.0,10.81,0,0.413,6.417,6.6,13.2,4,305,19.2,95.9,6.72,3630
0.15876,0.0,10.81,0,0.413,5.961,17.5,13.2,4,305,19.2,94.2,9.88,3255
0.09164,0.0,10.81,0,0.413,6.065,7.8,13.2,4,305,19.2,97.7,5.52,3420
0.19539,0.0,10.81,0,0.413,6.245,6.2,13.2,4,305,19.2,94.3,7.54,3510
0.07896,0.0,12.83,0,0.437,6.273,6.0,10.6,5,398,18.7,98.7,6.78,3615
0.09512,0.0,12.83,0,0.437,6.286,45.0,11.3,5,398,18.7,95.8,8.94,3210
0.10153,0.0,12.83,0,0.437,6.279,74.5,10.1,5,398,18.7,93.4,11.97,3000
0.08707,0.0,12.83,0,0.437,6.14,45.8,10.2,5,398,18.7,96.7,10.27,3120
0.05646,0.0,12.83,0,0.437,6.232,53.7,12.5,5,398,18.7,96.6,12.34,3180
0.08387,0.0,12.83,0,0.437,5.874,36.6,11.3,5,398,18.7,99.0,9.1,3045
0.04113,25.0,4.86,0,0.426,6.727,33.5,13.5,4,281,19.0,99.2,5.29,4200
0.04462,25.0,4.86,0,0.426,6.619,70.4,13.5,4,281,19.0,98.9,7.22,3585
0.03659,25.0,4.86,0,0.426,6.302,32.2,13.5,4,281,19.0,99.2,6.72,3720
0.03551,25.0,4.86,0,0.426,6.167,46.7,13.5,4,281,19.0,97.7,7.51,3435
0.05059,0.0,4.49,0,0.449,6.389,48.0,11.9,3,247,18.5,99.2,9.62,3585
0.05735,0.0,4.49,0,0.449,6.63,56.1,11.1,3,247,18.5,98.1,6.53,3990
0.05188,0.0,4.49,0,0.449,6.015,45.1,11.1,3,247,18.5,99.0,12.86,3375
0.07151,0.0,4.49,0,0.449,6.121,56.8,9.4,3,247,18.5,98.8,8.44,3330
0.0566,0.0,3.41,0,0.489,7.007,86.3,8.6,2,270,17.8,99.2,5.5,3540
0.05302,0.0,3.41,0,0.489,7.079,63.1,8.5,2,270,17.8,99.0,5.7,4305
0.04684,0.0,3.41,0,0.489,6.417,66.1,7.7,2,270,17.8,98.0,8.81,3390
0.03932,0.0,3.41,0,0.489,6.405,73.9,7.7,2,270,17.8,98.4,8.2,3300
0.04203,28.0,15.04,0,0.464,6.442,53.6,9.2,4,270,18.2,98.8,8.16,3435
0.02875,28.0,15.04,0,0.464,6.211,28.9,9.2,4,270,18.2,99.1,6.21,3750
0.04294,28.0,15.04,0,0.464,6.249,77.3,9.0,4,270,18.2,99.2,10.59,3090
0.12204,0.0,2.89,0,0.445,6.625,57.8,8.7,2,276,18.0,89.5,6.65,4260
0.11504,0.0,2.89,0,0.445,6.163,69.6,8.7,2,276,18.0,98.0,11.34,3210
0.12083,0.0,2.89,0,0.445,8.069,76.0,8.7,2,276,18.0,99.2,4.21,5805
0.08187,0.0,2.89,0,0.445,7.82,36.9,8.7,2,276,18.0,98.4,3.57,6570
0.0686,0.0,2.89,0,0.445,7.416,62.5,8.7,2,276,18.0,99.2,6.19,4980
0.14866,0.0,8.56,0,0.52,6.727,79.9,6.9,5,384,20.9,98.7,9.42,4125
0.11432,0.0,8.56,0,0.52,6.781,71.3,7.1,5,384,20.9,98.9,7.67,3975
0.22876,0.0,8.56,0,0.52,6.405,85.4,6.8,5,384,20.9,17.7,10.63,2790
0.21161,0.0,8.56,0,0.52,6.137,87.4,6.8,5,384,20.9,98.6,13.44,2895
0.1396,0.0,8.56,0,0.52,6.167,90.0,6.1,5,384,20.9,98.2,12.33,3015
0.13262,0.0,8.56,0,0.52,5.851,96.7,5.3,5,384,20.9,98.5,16.47,2925
0.1712,0.0,8.56,0,0.52,5.836,91.9,5.5,5,384,20.9,98.9,18.66,2925
0.13117,0.0,8.56,0,0.52,6.127,85.2,5.3,5,384,20.9,96.9,14.09,3060
0.12802,0.0,8.56,0,0.52,6.474,97.1,6.1,5,384,20.9,98.8,12.27,2970
0.26363,0.0,8.56,0,0.52,6.229,91.2,6.4,5,384,20.9,97.8,15.55,2910
0.10793,0.0,8.56,0,0.52,6.195,54.4,6.9,5,384,20.9,98.4,13.0,3255
0.10084,0.0,10.01,0,0.547,6.715,81.6,6.7,6,432,17.8,98.9,10.16,3420
0.12329,0.0,10.01,0,0.547,5.913,92.9,5.9,6,432,17.8,98.7,16.21,2820
0.22212,0.0,10.01,0,0.547,6.092,95.4,6.4,6,432,17.8,99.2,17.09,2805
0.14231,0.0,10.01,0,0.547,6.254,84.2,5.6,6,432,17.8,97.2,10.45,2775
0.17134,0.0,10.01,0,0.547,5.928,88.2,6.2,6,432,17.8,86.2,15.76,2745
0.13158,0.0,10.01,0,0.547,6.176,72.5,6.8,6,432,17.8,98.3,12.04,3180
0.15098,0.0,10.01,0,0.547,6.021,82.6,6.9,6,432,17.8,98.6,10.3,2880
0.13058,0.0,10.01,0,0.547,5.872,73.1,6.2,6,432,17.8,84.7,15.37,3060
0.14476,0.0,10.01,0,0.547,5.731,65.2,6.9,6,432,17.8,97.9,13.61,2895
0.06899,0.0,25.65,0,0.581,5.87,69.7,5.6,2,188,19.1,97.3,14.37,3300
0.07165,0.0,25.65,0,0.581,6.004,84.1,5.5,2,188,19.1,94.4,14.27,3045
0.09299,0.0,25.65,0,0.581,5.961,92.9,5.2,2,188,19.1,94.5,17.93,3075
0.15038,0.0,25.65,0,0.581,5.856,97.0,4.9,2,188,19.1,92.6,25.41,2595
0.09849,0.0,25.65,0,0.581,5.879,95.8,5.0,2,188,19.1,94.8,17.58,2820
0.16902,0.0,25.65,0,0.581,5.986,88.4,5.0,2,188,19.1,96.3,14.81,3210
0.38735,0.0,25.65,0,0.581,5.613,95.6,4.4,2,188,19.1,89.8,27.26,2355
0.25915,0.0,21.89,0,0.624,5.693,96.0,4.5,4,437,21.2,98.0,17.19,2430
0.32543,0.0,21.89,0,0.624,6.431,98.8,4.5,4,437,21.2,99.2,15.39,2700
0.88125,0.0,21.89,0,0.624,5.637,94.7,4.9,4,437,21.2,99.2,18.34,2145
0.34006,0.0,21.89,0,0.624,6.458,98.9,5.3,4,437,21.2,98.8,12.6,2880
1.19294,0.0,21.89,0,0.624,6.326,97.7,5.7,4,437,21.2,99.2,12.26,2940
0.59005,0.0,21.89,0,0.624,6.372,97.9,5.8,4,437,21.2,96.4,11.12,3450
0.32982,0.0,21.89,0,0.624,5.822,95.4,6.2,4,437,21.2,97.2,15.03,2760
0.97617,0.0,21.89,0,0.624,5.757,98.4,5.9,4,437,21.2,65.7,17.31,2340
0.55778,0.0,21.89,0,0.624,6.335,98.2,5.3,4,437,21.2,98.7,16.96,2715
0.32264,0.0,21.89,0,0.624,5.942,93.5,4.9,4,437,21.2,94.6,16.9,2610
0.35233,0.0,21.89,0,0.624,6.454,98.4,4.6,4,437,21.2,98.5,14.59,2565
0.2498,0.0,21.89,0,0.624,5.857,98.2,4.2,4,437,21.2,98.0,21.32,1995
0.54452,0.0,21.89,0,0.624,6.151,97.9,4.2,4,437,21.2,99.2,18.46,2670
0.2909,0.0,21.89,0,0.624,6.174,93.6,4.0,4,437,21.2,97.0,24.16,2100
1.62864,0.0,21.89,0,0.624,5.019,100.0,3.6,4,437,21.2,99.2,34.41,2160
3.32105,0.0,19.58,1,0.871,5.403,100.0,3.3,5,403,14.7,99.2,26.82,2010
4.0974,0.0,19.58,0,0.871,5.468,100.0,3.5,5,403,14.7,99.2,26.42,2340
2.77974,0.0,19.58,0,0.871,4.903,97.8,3.4,5,403,14.7,99.2,29.29,1770
2.37934,0.0,19.58,0,0.871,6.13,100.0,3.5,5,403,14.7,43.2,27.8,2070
2.15505,0.0,19.58,0,0.871,5.628,100.0,3.8,5,403,14.7,42.3,16.65,2340
2.36862,0.0,19.58,0,0.871,4.926,95.7,3.7,5,403,14.7,97.9,29.53,2190
2.33099,0.0,19.58,0,0.871,5.186,93.8,3.8,5,403,14.7,89.2,28.32,2670
2.73397,0.0,19.58,0,0.871,5.597,94.9,3.8,5,403,14.7,88.0,21.45,2310
1.6566,0.0,19.58,0,0.871,6.122,97.3,4.0,5,403,14.7,93.2,14.1,3225
1.49632,0.0,19.58,0,0.871,5.404,100.0,4.0,5,403,14.7,85.4,13.28,2940
1.12658,0.0,19.58,1,0.871,5.012,88.0,4.0,5,403,14.7,85.8,12.12,2295
2.14918,0.0,19.58,0,0.871,5.709,98.5,4.1,5,403,14.7,65.5,15.79,2910
1.41385,0.0,19.58,1,0.871,6.129,96.0,4.4,5,403,14.7,80.3,15.12,2550
3.53501,0.0,19.58,1,0.871,6.152,82.6,4.4,5,403,14.7,22.0,15.02,2340
2.44668,0.0,19.58,0,0.871,5.272,94.0,4.3,5,403,14.7,22.2,16.14,1965
1.22358,0.0,19.58,0,0.605,6.943,97.4,4.7,5,403,14.7,90.9,4.59,6195
1.34284,0.0,19.58,0,0.605,6.066,100.0,4.4,5,403,14.7,88.5,6.43,3645
1.42502,0.0,19.58,0,0.871,6.51,100.0,4.4,5,403,14.7,91.1,7.39,3495
1.27346,0.0,19.58,1,0.605,6.25,92.6,4.5,5,403,14.7,84.7,5.5,4050
1.46336,0.0,19.58,0,0.605,7.489,90.8,4.9,5,403,14.7,93.6,1.73,7500
1.83377,0.0,19.58,1,0.605,7.802,98.2,5.1,5,403,14.7,97.4,1.92,7500
1.51902,0.0,19.58,1,0.605,8.375,93.9,5.4,5,403,14.7,97.1,3.32,7500
2.24236,0.0,19.58,0,0.605,5.854,91.8,6.1,5,403,14.7,98.8,11.64,3405
2.924,0.0,19.58,0,0.605,6.101,93.0,5.7,5,403,14.7,60.0,9.81,3750
2.01019,0.0,19.58,0,0.605,7.929,96.2,5.1,5,403,14.7,92.3,3.7,7500
1.80028,0.0,19.58,0,0.605,5.877,79.2,6.1,5,403,14.7,56.9,12.14,3570
2.3004,0.0,19.58,0,0.605,6.319,96.1,5.2,5,403,14.7,74.3,11.1,3570
2.44953,0.0,19.58,0,0.605,6.402,95.2,5.7,5,403,14.7,82.5,11.32,3345
1.20742,0.0,19.58,0,0.605,5.875,94.6,6.1,5,403,14.7,73.1,14.43,2610
2.3139,0.0,19.58,0,0.605,5.88,97.3,6.0,5,403,14.7,87.0,12.03,2865
0.13914,0.0,4.05,0,0.51,5.572,88.5,6.5,5,296,16.6,99.2,14.69,3465
0.09178,0.0,4.05,0,0.51,6.416,84.1,6.6,5,296,16.6,98.9,9.04,3540
0.08447,0.0,4.05,0,0.51,5.859,68.7,6.8,5,296,16.6,98.3,9.64,3390
0.06664,0.0,4.05,0,0.51,6.546,33.1,7.8,5,296,16.6,97.7,5.33,4410
0.07022,0.0,4.05,0,0.51,6.02,47.2,8.9,5,296,16.6,98.3,10.11,3480
0.05425,0.0,4.05,0,0.51,6.315,73.4,8.3,5,296,16.6,98.9,6.29,3690
0.06642,0.0,4.05,0,0.51,6.86,74.4,7.3,5,296,16.6,97.8,6.92,4485
0.0578,0.0,2.46,0,0.488,6.98,58.4,7.1,3,193,17.8,99.2,5.04,5580
0.06588,0.0,2.46,0,0.488,7.765,83.3,6.9,3,193,17.8,98.9,7.56,5970
0.06888,0.0,2.46,0,0.488,6.144,62.2,6.5,3,193,17.8,99.2,9.45,5430
0.09103,0.0,2.46,0,0.488,7.155,92.2,6.8,3,193,17.8,98.5,4.82,5685
0.10008,0.0,2.46,0,0.488,6.563,95.6,7.1,3,193,17.8,99.2,5.68,4875
0.08308,0.0,2.46,0,0.488,5.604,89.8,7.5,3,193,17.8,97.8,13.98,3960
0.06047,0.0,2.46,0,0.488,6.153,68.8,8.2,3,193,17.8,96.8,13.15,4440
0.05602,0.0,2.46,0,0.488,7.831,53.6,8.0,3,193,17.8,98.2,4.45,7500
0.07875,45.0,3.44,0,0.437,6.782,41.1,9.5,5,398,15.2,98.5,6.68,4800
0.12579,45.0,3.44,0,0.437,6.556,29.1,11.4,5,398,15.2,95.7,4.56,4470
0.0837,45.0,3.44,0,0.437,7.185,38.9,11.4,5,398,15.2,99.2,5.39,5235
0.09068,45.0,3.44,0,0.437,6.951,21.5,16.2,5,398,15.2,94.4,5.1,5550
0.06911,45.0,3.44,0,0.437,6.739,30.8,16.2,5,398,15.2,97.4,4.69,4575
0.08664,45.0,3.44,0,0.437,7.178,26.3,16.2,5,398,15.2,97.6,2.87,5460
0.02187,60.0,2.93,0,0.401,6.8,9.9,15.5,1,265,15.6,98.3,5.03,4665
0.01439,60.0,2.93,0,0.401,6.604,18.8,15.5,1,265,15.6,94.2,4.38,4365
0.01381,80.0,0.46,0,0.422,7.875,32.0,14.1,4,255,14.4,98.6,2.97,7500
0.04011,80.0,1.52,0,0.404,7.287,34.1,18.3,2,329,12.6,99.2,4.08,4995
0.04666,80.0,1.52,0,0.404,7.107,36.6,18.3,2,329,12.6,88.6,8.61,4545
0.03768,80.0,1.52,0,0.404,7.274,38.3,18.3,2,329,12.6,98.0,6.62,5190
0.0315,95.0,1.47,0,0.403,6.975,15.3,19.1,3,402,17.0,99.2,4.56,5235
0.01778,95.0,1.47,0,0.403,7.135,13.9,19.1,3,402,17.0,96.1,4.45,4935
0.03445,82.5,2.03,0,0.415,6.162,38.4,15.7,2,348,14.7,98.4,7.43,3615
0.02177,82.5,2.03,0,0.415,7.61,15.7,15.7,2,348,14.7,98.8,3.11,6345
0.0351,95.0,2.68,0,0.4161,7.853,33.2,12.8,4,224,14.7,98.2,3.81,7275
0.02009,95.0,2.68,0,0.4161,8.034,31.9,12.8,4,224,14.7,97.6,2.88,7500
0.13642,0.0,10.59,0,0.489,5.891,22.3,9.9,4,277,18.6,99.2,10.87,3390
0.22969,0.0,10.59,0,0.489,6.326,52.5,10.9,4,277,18.6,98.7,10.97,3660
0.25199,0.0,10.59,0,0.489,5.783,72.7,10.9,4,277,18.6,97.4,18.06,3375
0.13587,0.0,10.59,1,0.489,6.064,59.1,10.6,4,277,18.6,95.3,14.66,3660
0.43571,0.0,10.59,1,0.489,5.344,100.0,9.7,4,277,18.6,99.2,23.09,3000
0.17446,0.0,10.59,1,0.489,5.96,92.1,9.7,4,277,18.6,98.3,17.27,3255
0.37578,0.0,10.59,1,0.489,5.404,88.6,9.2,4,277,18.6,98.8,23.98,2895
0.21719,0.0,10.59,1,0.489,5.807,53.8,9.1,4,277,18.6,97.7,16.03,3360
0.14052,0.0,10.59,0,0.489,6.375,32.3,9.9,4,277,18.6,96.5,9.38,4215
0.28955,0.0,10.59,0,0.489,5.412,9.8,9.0,4,277,18.6,87.2,29.55,3555
0.19802,0.0,10.59,0,0.489,6.182,42.4,9.9,4,277,18.6,98.4,9.47,3750
0.0456,0.0,13.89,1,0.55,5.888,56.0,7.8,5,276,16.4,98.2,13.51,3495
0.07013,0.0,13.89,0,0.55,6.642,85.1,8.6,5,276,16.4,98.2,9.69,4305
0.11069,0.0,13.89,1,0.55,5.951,93.8,7.2,5,276,16.4,99.2,17.92,3225
0.11425,0.0,13.89,1,0.55,6.373,92.4,8.4,5,276,16.4,98.4,10.5,3450
0.35809,0.0,6.2,1,0.507,6.951,88.5,7.2,8,307,17.4,97.9,9.71,4005
0.40771,0.0,6.2,1,0.507,6.164,91.3,7.6,8,307,17.4,98.8,21.46,3255
0.62356,0.0,6.2,1,0.507,6.879,77.7,8.2,8,307,17.4,97.6,9.93,4125
0.6147,0.0,6.2,0,0.507,6.618,80.8,8.2,8,307,17.4,99.2,7.6,4515
0.31533,0.0,6.2,0,0.504,8.266,78.3,7.2,8,307,17.4,96.3,4.14,6720
0.52693,0.0,6.2,0,0.504,8.725,83.0,7.2,8,307,17.4,95.5,4.63,7500
0.38214,0.0,6.2,0,0.504,8.04,86.5,8.0,8,307,17.4,96.8,3.13,5640
0.41238,0.0,6.2,0,0.504,7.163,79.9,8.0,8,307,17.4,93.0,6.36,4740
0.29819,0.0,6.2,0,0.504,7.686,17.0,8.4,8,307,17.4,94.4,3.92,7005
0.44178,0.0,6.2,0,0.504,6.552,21.4,8.4,8,307,17.4,95.1,3.76,4725
0.537,0.0,6.2,0,0.504,5.981,68.1,9.2,8,307,17.4,94.6,11.65,3645
0.46296,0.0,6.2,0,0.504,7.412,76.9,9.2,8,307,17.4,94.0,5.25,4755
0.57529,0.0,6.2,0,0.507,8.337,73.3,9.6,8,307,17.4,96.5,2.47,6255
0.33147,0.0,6.2,0,0.507,8.247,70.4,9.1,8,307,17.4,94.7,3.95,7245
0.44791,0.0,6.2,1,0.507,6.726,66.5,9.1,8,307,17.4,90.0,8.05,4350
0.33045,0.0,6.2,0,0.507,6.086,61.5,9.1,8,307,17.4,94.2,10.88,3600
0.52058,0.0,6.2,1,0.507,6.631,76.5,10.4,8,307,17.4,97.1,9.54,3765
0.51183,0.0,6.2,0,0.507,7.358,71.6,10.4,8,307,17.4,97.5,4.73,4725
0.08244,30.0,4.93,0,0.428,6.481,18.5,15.5,6,300,16.6,94.9,6.36,3555
0.09252,30.0,4.93,0,0.428,6.606,42.2,15.5,6,300,16.6,95.9,7.37,3495
0.11329,30.0,4.93,0,0.428,6.897,54.3,15.8,6,300,16.6,97.8,11.38,3300
0.10612,30.0,4.93,0,0.428,6.095,65.1,15.8,6,300,16.6,98.7,12.4,3015
0.1029,30.0,4.93,0,0.428,6.358,52.9,17.6,6,300,16.6,93.2,11.22,3330
0.12757,30.0,4.93,0,0.428,6.393,7.8,17.6,6,300,16.6,93.7,5.19,3555
0.20608,22.0,5.86,0,0.431,5.593,76.5,19.9,7,330,19.1,93.1,12.5,2640
0.19133,22.0,5.86,0,0.431,5.605,70.2,19.9,7,330,19.1,97.3,18.46,2775
0.33983,22.0,5.86,0,0.431,6.108,34.9,20.1,7,330,19.1,97.5,9.16,3645
0.19657,22.0,5.86,0,0.431,6.226,79.2,20.1,7,330,19.1,94.0,10.15,3075
0.16439,22.0,5.86,0,0.431,6.433,49.1,19.6,7,330,19.1,93.7,9.52,3675
0.19073,22.0,5.86,0,0.431,6.718,17.5,19.6,7,330,19.1,98.4,6.56,3930
0.1403,22.0,5.86,0,0.431,6.487,13.0,18.5,7,330,19.1,99.1,5.9,3660
